Invoice ID,Branch,City,Customer Type,Gender,Category,Product,Unit Price,Quantity,Payment Method,Rating,Date
INV-1018,Branch C,Naypyitaw,Member,Male,Electronic accessories,USB-C Fast Charger,17.92,6,Cash,7.6,2026-03-17
INV-1019,Branch A,Yangon,Member,Female,Fashion accessories,Polarized Sunglasses,51.69,6,Cash,6.3,2026-03-27
INV-1020,Branch B,Mandalay,Member,Female,Sports and travel,Collapsible Duffle Bag,44.01,4,E-wallet,8.4,2026-01-25
INV-1021,Branch A,Yangon,Member,Male,Food and beverages,Gourmet Ground Coffee,16.58,1,Credit card,9.5,2026-01-13
INV-1022,Branch A,Yangon,Member,Male,Electronic accessories,USB-C Fast Charger,17.49,9,Credit card,7.1,2026-02-05
INV-1023,Branch B,Mandalay,Member,Female,Health and beauty,Bamboo Toothbrush Set,9.08,9,E-wallet,9.4,2026-01-31
INV-1024,Branch A,Yangon,Member,Male,Fashion accessories,Silk Scarf,35.76,3,Credit card,9.6,2026-02-03
INV-1025,Branch B,Mandalay,Member,Male,Fashion accessories,Leather Belt,25.12,1,Credit card,7.5,2026-02-10
INV-1026,Branch A,Yangon,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,17.68,9,Cash,6.1,2026-03-18
INV-1027,Branch A,Yangon,Normal,Female,Health and beauty,Hydrating Face Serum,57.78,10,Cash,7.7,2026-03-21
INV-1028,Branch A,Yangon,Member,Male,Food and beverages,Artisan Dark Chocolate,12.37,6,Cash,7.0,2026-03-27
INV-1029,Branch C,Naypyitaw,Member,Male,Electronic accessories,Wireless Earbuds,48.75,10,E-wallet,5.3,2026-01-28
INV-1030,Branch C,Naypyitaw,Member,Male,Electronic accessories,USB-C Fast Charger,19.8,3,Credit card,7.5,2026-02-08
INV-1031,Branch C,Naypyitaw,Normal,Female,Sports and travel,Collapsible Duffle Bag,34.88,2,E-wallet,5.7,2026-01-15
INV-1032,Branch A,Yangon,Normal,Female,Food and beverages,Extra Virgin Olive Oil,24.1,6,Cash,7.8,2026-02-03
INV-1033,Branch C,Naypyitaw,Member,Female,Electronic accessories,Power Bank 20000mAh,45.73,1,Cash,8.3,2026-03-23
INV-1034,Branch B,Mandalay,Member,Male,Home and lifestyle,Indoor Plant Pot,25.22,2,Cash,8.8,2026-01-20
INV-1035,Branch C,Naypyitaw,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,17.52,3,Cash,6.9,2026-01-06
INV-1036,Branch B,Mandalay,Member,Female,Sports and travel,Non-Slip Yoga Mat,29.9,9,E-wallet,7.0,2026-03-21
INV-1037,Branch C,Naypyitaw,Member,Female,Fashion accessories,Leather Belt,39.15,1,Cash,9.0,2026-02-22
INV-1038,Branch C,Naypyitaw,Normal,Female,Food and beverages,Artisan Dark Chocolate,13.66,2,Credit card,4.9,2026-03-02
INV-1039,Branch A,Yangon,Member,Male,Food and beverages,Extra Virgin Olive Oil,28.41,4,Cash,7.9,2026-02-21
INV-1040,Branch B,Mandalay,Member,Female,Food and beverages,Extra Virgin Olive Oil,24.83,7,Credit card,8.6,2026-02-12
INV-1041,Branch A,Yangon,Member,Male,Fashion accessories,Wristwatch,96.98,5,Cash,7.7,2026-02-14
INV-1042,Branch C,Naypyitaw,Normal,Male,Home and lifestyle,Stainless Steel Water Bottle,16.97,10,Cash,5.0,2026-02-25
INV-1043,Branch A,Yangon,Member,Female,Food and beverages,Gourmet Ground Coffee,11.12,6,Credit card,7.9,2026-01-16
INV-1044,Branch C,Naypyitaw,Normal,Male,Sports and travel,Quick-Dry Gym Towel,13.24,5,Credit card,6.1,2026-03-27
INV-1045,Branch B,Mandalay,Normal,Female,Home and lifestyle,Stainless Steel Water Bottle,20.12,9,E-wallet,6.6,2026-01-27
INV-1046,Branch B,Mandalay,,Male,Health and beauty,Aromatherapy Essential Oil,21.07,4,Credit card,8.3,2026-01-22
INV-1047,Branch C,Naypyitaw,Member,Male,Electronic accessories,USB-C Fast Charger,23.75,4,E-wallet,5.8,2026-01-06
INV-1048,Branch A,Yangon,Normal,Female,Health and beauty,Aromatherapy Essential Oil,28.18,10,Cash,8.0,2026-03-05
INV-1049,Branch B,Mandalay,Member,Female,Electronic accessories,Power Bank 20000mAh,30.47,9,Credit card,7.6,2026-01-16
INV-1050,Branch B,Mandalay,Member,Male,Sports and travel,Collapsible Duffle Bag,57.6,10,Cash,8.2,2026-02-26
INV-1051,Branch C,Naypyitaw,Normal,Male,Home and lifestyle,Indoor Plant Pot,31.94,8,Credit card,8.2,2026-03-23
INV-1052,Branch B,Mandalay,Normal,Male,Sports and travel,Resistance Bands Kit,16.94,2,E-wallet,6.3,2026-02-12
INV-1053,Branch B,Mandalay,Normal,Female,Fashion accessories,Leather Belt,23.55,3,E-wallet,5.2,2026-02-22
INV-1054,Branch B,Mandalay,Member,Male,Electronic accessories,USB-C Fast Charger,25.83,7,E-wallet,7.6,2026-03-31
INV-1055,Branch A,Yangon,Normal,Male,Health and beauty,Hydrating Face Serum,57.82,5,E-wallet,8.6,2026-02-23
INV-1056,Branch C,Naypyitaw,Normal,Female,Health and beauty,Herbal Shampoo,14.09,8,Cash,6.8,2026-03-28
INV-1057,Branch B,Mandalay,Normal,Male,Fashion accessories,Wristwatch,73.84,7,Credit card,7.9,2026-01-11
INV-1058,Branch C,Naypyitaw,Member,Male,Fashion accessories,Polarized Sunglasses,29.11,6,Cash,6.7,2026-02-18
INV-1059,Branch B,Mandalay,Normal,Male,Food and beverages,Organic Green Tea,14.58,9,Cash,9.2,2026-01-29
INV-1060,Branch C,Naypyitaw,Member,Female,Electronic accessories,USB-C Fast Charger,17.59,1,Credit card,6.3,2026-03-02
INV-1061,Branch C,Naypyitaw,Member,Female,Health and beauty,Mineral Sunscreen SPF 50,30.57,3,Credit card,9.3,2026-01-15
INV-1062,Branch A,Yangon,Normal,Female,Home and lifestyle,Scented Soy Candle,26.86,10,Credit card,9.3,2026-02-20
INV-1063,Branch C,Naypyitaw,Member,Female,Electronic accessories,Bluetooth Speaker,78.26,10,E-wallet,8.4,2026-03-14
INV-1064,Branch A,Yangon,Member,Male,Sports and travel,Travel Neck Pillow,14.97,6,Cash,7.1,2026-03-04
INV-1065,Branch A,Yangon,Member,Male,Sports and travel,Quick-Dry Gym Towel,18.2,7,Cash,7.4,2026-03-25
INV-1066,Branch B,Mandalay,Normal,Male,Health and beauty,Aromatherapy Essential Oil,27.21,10,Cash,8.6,2026-01-12
INV-1067,Branch B,Mandalay,Normal,Female,Health and beauty,Bamboo Toothbrush Set,14.71,7,Cash,7.4,2026-02-11
INV-1068,Branch A,Yangon,Member,Male,Food and beverages,Extra Virgin Olive Oil,17.59,10,E-wallet,6.5,2026-01-02
INV-1069,Branch C,Naypyitaw,Normal,Female,Fashion accessories,Silk Scarf,26.24,4,Credit card,7.8,2026-03-04
INV-1070,Branch B,Mandalay,Normal,Female,Food and beverages,Artisan Dark Chocolate,9.45,4,Cash,7.6,2026-03-02
INV-1071,Branch C,Naypyitaw,Member,Male,Sports and travel,Collapsible Duffle Bag,35.92,8,Cash,6.4,2026-01-16
INV-1072,Branch C,Naypyitaw,Member,Female,Sports and travel,Collapsible Duffle Bag,56.38,3,Cash,8.1,2026-02-05
INV-1073,Branch C,Naypyitaw,Normal,Male,Electronic accessories,USB-C Fast Charger,18.85,6,Cash,4.6,2026-03-10
INV-1074,Branch A,Yangon,Member,Female,Home and lifestyle,Microfiber Bed Sheet,53.8,3,Credit card,8.2,2026-01-14
INV-1075,Branch A,Yangon,Normal,Male,Health and beauty,Aromatherapy Essential Oil,19.45,1,Cash,8.6,2026-01-15
INV-1076,Branch A,Yangon,Member,Female,Home and lifestyle,Scented Soy Candle,14.43,10,E-wallet,5.4,2026-02-01
INV-1077,Branch A,Yangon,Normal,Male,Home and lifestyle,Stainless Steel Water Bottle,28.44,4,E-wallet,6.9,2026-02-26
INV-1078,Branch B,Mandalay,Normal,Male,Food and beverages,Almond Milk 1L Pack,13.45,10,E-wallet,5.5,2026-01-27
INV-1079,Branch C,Naypyitaw,Member,Female,Fashion accessories,Leather Belt,22.17,2,Cash,7.1,2026-03-30
INV-1080,Branch C,Naypyitaw,Member,Female,Fashion accessories,Casual Backpack,66.81,8,Cash,6.3,2026-02-03
INV-1081,Branch C,Naypyitaw,Normal,Female,Health and beauty,Hydrating Face Serum,42.69,3,E-wallet,8.5,2026-01-10
INV-1082,Branch A,Yangon,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,30.66,8,Cash,8.0,2026-03-31
INV-1083,Branch B,Mandalay,Normal,Male,Health and beauty,Hydrating Face Serum,44.73,7,E-wallet,7.7,2026-01-04
INV-1084,Branch A,Yangon,Member,Female,Sports and travel,Travel Neck Pillow,22.07,3,Credit card,7.9,2026-02-05
INV-1085,Branch A,Yangon,Normal,Male,Sports and travel,Quick-Dry Gym Towel,21.6,8,Cash,6.8,2026-03-27
INV-1086,Branch A,Yangon,Normal,Male,Health and beauty,Aromatherapy Essential Oil,18.61,7,E-wallet,7.5,2026-02-28
INV-1087,Branch A,Yangon,Member,Male,Electronic accessories,Power Bank 20000mAh,46.62,1,Credit card,7.5,2026-02-22
INV-1088,Branch A,Yangon,Member,Male,Home and lifestyle,Indoor Plant Pot,26.51,1,Cash,7.5,2026-02-06
INV-1089,branch a,Mandalay,Normal,Male,Electronic accessories,Wireless Earbuds,64.19,10,E-wallet,8.0,2026-02-09
INV-1090,Branch C,Naypyitaw,Member,Male,Electronic accessories,USB-C Fast Charger,27.9,2,Credit card,5.6,2026-01-20
INV-1091,Branch B,Mandalay,Normal,Male,Home and lifestyle,Microfiber Bed Sheet,43.37,8,E-wallet,6.4,2026-03-12
INV-1092,Branch A,Yangon,Member,Female,Electronic accessories,Bluetooth Speaker,74.77,7,Cash,8.3,2026-02-04
INV-1093,Branch A,Yangon,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,31.98,8,E-wallet,7.2,2026-03-03
INV-1094,Branch B,Mandalay,Member,Male,Health and beauty,Mineral Sunscreen SPF 50,32.52,4,Credit card,6.3,2026-02-22
INV-1095,Branch A,Yangon,Member,Male,Sports and travel,Quick-Dry Gym Towel,14.02,3,Credit card,4.9,2026-03-06
INV-1096,Branch C,Naypyitaw,Member,Female,Health and beauty,Hydrating Face Serum,41.99,8,Cash,5.8,2026-03-25
INV-1097,Branch A,Yangon,Member,Male,Food and beverages,Almond Milk 1L Pack,14.31,2,E-wallet,8.6,2026-03-10
INV-1098,Branch B,Mandalay,Normal,Male,Home and lifestyle,Scented Soy Candle,21.88,4,Credit card,9.0,2026-01-30
INV-1099,Branch C,Naypyitaw,Member,Female,Sports and travel,Non-Slip Yoga Mat,32.42,5,E-wallet,5.0,2026-01-08
INV-1100,Branch B,Mandalay,Member,Male,Fashion accessories,Leather Belt,30.75,10,Credit card,6.0,2026-01-23
INV-1101,Branch A,Yangon,Normal,Male,Home and lifestyle,Ceramic Coffee Mug Set,26.96,10,Cash,7.2,2026-02-02
INV-1102,Branch B,Mandalay,Member,Female,Health and beauty,Mineral Sunscreen SPF 50,28.87,3,Cash,9.1,2026-03-17
INV-1103,Branch B,Mandalay,Normal,Male,Sports and travel,Travel Neck Pillow,20.4,5,Cash,7.0,2026-03-03
INV-1104,Branch A,Yangon,Member,Male,Home and lifestyle,Microfiber Bed Sheet,64.73,5,Cash,8.5,2026-02-20
INV-1105,Branch B,Mandalay,Member,Female,Home and lifestyle,Indoor Plant Pot,30.66,5,E-wallet,6.3,2026-02-15
INV-1106,Branch A,Yangon,Normal,Male,Sports and travel,Resistance Bands Kit,23.31,1,Cash,7.2,2026-03-16
INV-1107,Branch B,Mandalay,Normal,Female,Food and beverages,Extra Virgin Olive Oil,26.95,3,Cash,8.3,2026-02-16
INV-1108,Branch C,Naypyitaw,Member,Male,Fashion accessories,Casual Backpack,76.13,8,E-wallet,6.6,2026-02-13
INV-1109,Branch A,Yangon,Member,Female,Fashion accessories,Leather Belt,38.64,7,E-wallet,8.4,2026-02-16
INV-1110,Branch A,Yangon,Normal,Female,Food and beverages,Almond Milk 1L Pack,7.48,6,Credit card,7.9,2026-03-16
INV-1111,Branch B,Mandalay,Normal,Male,Electronic accessories,USB-C Fast Charger,21.13,10,E-wallet,7.6,2026-03-20
INV-1112,Branch A,Yangon,Normal,Male,Sports and travel,Travel Neck Pillow,23.09,2,Cash,9.2,2026-02-08
INV-1113,Branch B,Mandalay,Member,Female,Home and lifestyle,Ceramic Coffee Mug Set,25.0,6,Credit card,8.2,2026-03-11
INV-1114,Branch B,Mandalay,Normal,Female,Health and beauty,Hydrating Face Serum,53.68,10,Credit card,9.2,2026-01-05
INV-1115,Branch C,Naypyitaw,Member,Male,Health and beauty,Herbal Shampoo,22.83,2,E-wallet,6.9,2026-03-24
INV-1116,Branch B,Mandalay,Member,Male,Fashion accessories,Polarized Sunglasses,53.22,8,Cash,6.2,2026-03-23
INV-1117,Branch C,Naypyitaw,Normal,Female,Food and beverages,Artisan Dark Chocolate,15.88,10,Cash,8.5,2026-03-12
INV-1118,Branch A,Yangon,Normal,Female,Food and beverages,Artisan Dark Chocolate,13.68,10,Cash,8.6,2026-01-19
INV-1119,Branch A,Yangon,Member,Female,Electronic accessories,Wireless Earbuds,38.95,6,E-wallet,6.3,2026-02-11
INV-1120,Branch A,Yangon,Member,Female,Fashion accessories,Silk Scarf,27.1,2,Credit card,8.3,2026-03-07
INV-1121,Branch C,Naypyitaw,Member,Female,Home and lifestyle,Scented Soy Candle,23.64,9,Cash,7.8,2026-01-04
INV-1122,Branch A,Yangon,Normal,Male,Health and beauty,Hydrating Face Serum,40.63,8,Cash,5.4,2026-03-19
INV-1123,Branch A,Yangon,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,24.32,6,Credit card,7.7,2026-02-07
INV-1124,Branch B,Mandalay,Member,Male,Electronic accessories,Wireless Earbuds,60.58,9,E-wallet,6.2,2026-02-27
INV-1125,Branch A,Yangon,Member,Male,Health and beauty,Aromatherapy Essential Oil,25.67,6,Credit card,7.9,2026-02-17
INV-1126,Branch A,Yangon,Normal,Male,Electronic accessories,Wireless Earbuds,59.95,2,Credit card,8.2,2026-02-17
INV-1127,Branch A,Yangon,Normal,Male,Sports and travel,Non-Slip Yoga Mat,31.5,7,E-wallet,8.1,2026-02-06
INV-1128,Branch C,Naypyitaw,Member,Female,Home and lifestyle,Stainless Steel Water Bottle,18.62,8,Cash,5.6,2026-03-13
INV-1129,Branch B,Mandalay,Member,Male,Home and lifestyle,Ceramic Coffee Mug Set,32.53,9,E-wallet,8.5,2026-03-20
INV-1130,Branch C,Naypyitaw,Normal,Female,Home and lifestyle,Microfiber Bed Sheet,29.07,5,E-wallet,6.7,2026-02-13
INV-1131,Branch B,Mandalay,Member,Female,Home and lifestyle,Indoor Plant Pot,15.39,1,Cash,7.5,2026-02-18
INV-1132,Branch B,Mandalay,Member,Female,Food and beverages,Extra Virgin Olive Oil,26.43,10,Credit card,8.8,2026-01-20
INV-1133,Branch A,Yangon,Normal,Female,Sports and travel,Non-Slip Yoga Mat,27.62,7,Credit card,7.2,2026-02-04
INV-1134,Branch A,Yangon,Normal,Female,Food and beverages,Gourmet Ground Coffee,11.77,10,Credit card,7.9,2026-01-06
INV-1135,Branch A,Yangon,Member,Female,Electronic accessories,USB-C Fast Charger,18.92,4,E-wallet,8.2,2026-02-07
INV-1136,Branch B,Mandalay,Member,Male,Sports and travel,Quick-Dry Gym Towel,11.28,7,Credit card,6.3,2026-03-13
INV-1137,Branch C,Naypyitaw,Normal,Female,Health and beauty,Hydrating Face Serum,38.58,8,E-wallet,8.7,2026-03-15
INV-1138,Branch B,Mandalay,Normal,Male,Food and beverages,Organic Green Tea,13.67,6,Cash,9.2,2026-02-28
INV-1139,Branch C,Naypyitaw,Normal,Female,Health and beauty,Hydrating Face Serum,31.25,10,Credit card,5.3,2026-02-09
INV-1140,Branch C,Naypyitaw,Member,Male,Fashion accessories,Polarized Sunglasses,37.87,2,Credit card,6.1,2026-02-14
INV-1141,Branch B,Mandalay,Normal,Female,Fashion accessories,Polarized Sunglasses,25.13,4,Cash,5.9,2026-03-25
INV-1142,Branch A,Yangon,Member,Male,Health and beauty,Bamboo Toothbrush Set,16.36,8,Credit card,8.8,2026-03-24
INV-1143,Branch C,Naypyitaw,Normal,Male,Sports and travel,Travel Neck Pillow,16.11,2,Credit card,7.8,2026-02-05
INV-1144,Branch C,Naypyitaw,Member,Female,Food and beverages,Gourmet Ground Coffee,17.23,1,Credit card,6.6,2026-03-24
INV-1145,Branch A,Yangon,Normal,Male,Health and beauty,Bamboo Toothbrush Set,14.1,1,Credit card,8.4,2026-03-25
INV-1146,Branch A,Yangon,Member,Male,Home and lifestyle,Ceramic Coffee Mug Set,35.24,8,Cash,8.8,2026-02-13
INV-1147,Branch C,Naypyitaw,Member,Female,Electronic accessories,USB-C Fast Charger,24.2,8,Credit card,7.7,2026-02-16
INV-1148,Branch B,Mandalay,Normal,Male,Health and beauty,Mineral Sunscreen SPF 50,28.9,1,E-wallet,7.8,2026-01-09
INV-1149,Branch B,Mandalay,Member,Male,Food and beverages,Extra Virgin Olive Oil,26.47,10,E-wallet,6.8,2026-03-16
INV-1150,Branch C,Naypyitaw,Member,Male,Food and beverages,Gourmet Ground Coffee,12.06,2,Cash,6.9,2026-02-12
INV-1151,Branch A,Yangon,Normal,Female,Sports and travel,Quick-Dry Gym Towel,15.61,1,Credit card,6.0,2026-01-28
INV-1152,Branch B,Mandalay,Normal,Male,Fashion accessories,Leather Belt,42.0,3,Cash,8.6,2026-01-13
INV-1153,Branch C,Naypyitaw,Normal,Female,Sports and travel,Travel Neck Pillow,26.27,10,Cash,6.9,2026-01-21
INV-1154,Branch A,Yangon,Normal,Female,Sports and travel,Quick-Dry Gym Towel,9.57,6,Credit card,6.3,2026-02-26
INV-1155,Branch C,Naypyitaw,Member,Male,Fashion accessories,Wristwatch,57.92,8,E-wallet,6.1,2026-03-28
INV-1156,Branch C,Naypyitaw,Normal,Male,Food and beverages,Gourmet Ground Coffee,18.05,7,E-wallet,8.4,2026-03-19
INV-1157,Branch A,Yangon,Normal,Female,Sports and travel,Quick-Dry Gym Towel,20.36,9,E-wallet,8.0,2026-03-08
INV-1158,Branch A,Yangon,Member,Female,Food and beverages,Gourmet Ground Coffee,24.48,3,E-wallet,5.4,2026-01-29
INV-1159,Branch B,Mandalay,Normal,Female,Health and beauty,Hydrating Face Serum,37.07,6,Cash,9.7,2026-02-17
INV-1160,Branch A,Yangon,Member,Female,Sports and travel,Travel Neck Pillow,25.08,3,Cash,9.0,2026-03-02
INV-1161,Branch C,Naypyitaw,Normal,Male,Health and beauty,Bamboo Toothbrush Set,8.06,2,Cash,6.2,2026-01-20
INV-1162,Branch C,Naypyitaw,Normal,Male,Electronic accessories,Bluetooth Speaker,50.69,2,Cash,7.1,2026-03-21
INV-1163,Branch B,Mandalay,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,15.28,9,Credit card,8.1,2026-02-07
INV-1164,Branch B,Mandalay,Member,Male,Fashion accessories,Wristwatch,67.49,2,Credit card,6.9,2026-03-09
INV-1165,Branch C,Naypyitaw,Member,Female,Health and beauty,Aromatherapy Essential Oil,14.7,7,E-wallet,6.4,2026-01-03
INV-1166,Branch B,Mandalay,Normal,Male,Fashion accessories,Polarized Sunglasses,47.0,6,Cash,6.8,2026-02-13
INV-1167,Branch C,Naypyitaw,Member,Male,Sports and travel,Quick-Dry Gym Towel,17.21,3,Cash,8.3,2026-02-28
INV-1168,Branch A,Yangon,Member,Female,Fashion accessories,Polarized Sunglasses,31.05,5,Credit card,9.6,2026-03-11
INV-1169,Branch B,Mandalay,Member,Female,Food and beverages,Extra Virgin Olive Oil,29.24,1,E-wallet,6.8,2026-01-16
INV-1170,Branch B,Mandalay,Member,Male,Sports and travel,Quick-Dry Gym Towel,20.63,7,Cash,6.1,2026-03-30
INV-1171,Branch B,Mandalay,Member,Male,Electronic accessories,Power Bank 20000mAh,26.97,10,E-wallet,6.0,2026-02-07
INV-1172,Branch B,Mandalay,Member,Male,Sports and travel,Travel Neck Pillow,18.29,10,E-wallet,5.9,2026-02-26
INV-1173,Branch B,Mandalay,Member,Male,Home and lifestyle,Indoor Plant Pot,19.49,1,Cash,7.8,2026-02-16
INV-1174,Branch C,Naypyitaw,Normal,Female,Electronic accessories,USB-C Fast Charger,26.03,8,Cash,5.2,2026-03-24
INV-1175,Branch B,Mandalay,Member,Female,Home and lifestyle,Ceramic Coffee Mug Set,30.22,6,Credit card,8.2,2026-03-15
INV-1176,Branch A,Yangon,Member,Male,Food and beverages,Extra Virgin Olive Oil,16.99,2,Cash,6.1,2026-03-08
INV-1177,Branch B,Mandalay,Normal,Female,Food and beverages,Extra Virgin Olive Oil,26.08,4,E-wallet,6.6,2026-03-04
INV-1178,Branch A,Yangon,Member,Female,Health and beauty,Herbal Shampoo,23.48,8,E-wallet,8.4,2026-02-10
INV-1179,Branch C,Naypyitaw,Member,Female,Home and lifestyle,Stainless Steel Water Bottle,19.94,5,E-wallet,8.0,2026-03-31
INV-1180,Branch C,Naypyitaw,Member,Male,Home and lifestyle,Ceramic Coffee Mug Set,20.18,4,E-wallet,6.3,2026-03-05
INV-1181,Branch A,Yangon,Member,Male,Health and beauty,Bamboo Toothbrush Set,9.43,2,Cash,7.0,2026-03-03
INV-1182,Branch C,Naypyitaw,Member,Male,Home and lifestyle,Scented Soy Candle,14.01,6,Credit card,7.2,2026-03-29
INV-1183,Branch C,Naypyitaw,Member,Female,Fashion accessories,Silk Scarf,26.57,1,E-wallet,7.4,2026-02-08
INV-1184,Branch A,Yangon,Member,Female,Food and beverages,Almond Milk 1L Pack,16.74,2,Cash,7.8,2026-03-12
INV-1185,Branch B,Mandalay,Member,Male,Home and lifestyle,Stainless Steel Water Bottle,16.59,3,Credit card,7.6,2026-01-22
INV-1186,Branch C,Naypyitaw,Normal,Male,Home and lifestyle,Scented Soy Candle,25.2,1,Cash,9.2,2026-03-15
INV-1187,Branch B,Mandalay,Normal,Male,Home and lifestyle,Scented Soy Candle,19.97,9,Cash,9.2,2026-03-03
INV-1188,Branch A,Yangon,Normal,Male,Food and beverages,Gourmet Ground Coffee,11.17,1,Cash,7.1,2026-03-01
INV-1189,Branch A,Yangon,Member,Female,Food and beverages,Extra Virgin Olive Oil,26.68,6,E-wallet,5.7,2026-02-17
INV-1190,Branch C,Naypyitaw,Normal,Male,Fashion accessories,Silk Scarf,17.82,8,Cash,5.5,2026-02-07
INV-1191,Branch B,Mandalay,Normal,Male,Fashion accessories,Leather Belt,37.52,10,E-wallet,6.1,2026-01-21
INV-1192,Branch B,Mandalay,Normal,Male,Health and beauty,Mineral Sunscreen SPF 50,25.45,2,E-wallet,7.4,2026-01-31
INV-1193,Branch A,Yangon,Normal,Female,Electronic accessories,Bluetooth Speaker,62.27,8,Cash,4.4,2026-01-14
INV-1194,Branch B,Mandalay,Member,Male,Sports and travel,Travel Neck Pillow,24.69,6,Cash,5.1,2026-03-13
INV-1195,Branch A,Yangon,Member,Male,Electronic accessories,Power Bank 20000mAh,37.61,9,Cash,9.6,2026-03-29
INV-1196,Branch C,Naypyitaw,Member,Female,Health and beauty,Mineral Sunscreen SPF 50,31.1,6,Credit card,6.9,2026-01-19
INV-1197,Branch A,Yangon,Normal,Male,Home and lifestyle,Scented Soy Candle,12.72,3,E-wallet,8.4,2026-03-08
INV-1198,Branch B,Mandalay,Member,Female,Food and beverages,Almond Milk 1L Pack,9.82,7,E-wallet,8.1,2026-02-08
INV-1199,Branch C,Naypyitaw,Member,Male,Sports and travel,Collapsible Duffle Bag,34.89,1,Credit card,7.9,2026-02-23
INV-1200,Branch C,Naypyitaw,Member,Female,Home and lifestyle,Indoor Plant Pot,19.31,10,Credit card,8.1,2026-03-16
INV-1201,Branch B,Mandalay,Member,Male,Fashion accessories,Leather Belt,18.76,2,Cash,7.2,2026-02-23
INV-1202,Branch A,Yangon,Member,Female,Health and beauty,Bamboo Toothbrush Set,16.52,8,E-wallet,8.1,2026-01-08
INV-1203,Branch C,Naypyitaw,Member,Female,Home and lifestyle,Microfiber Bed Sheet,64.93,8,Credit card,6.7,2026-01-23
INV-1204,Branch B,Mandalay,Normal,Male,Home and lifestyle,Microfiber Bed Sheet,53.01,5,Credit card,6.1,2026-02-01
INV-1205,Branch B,Mandalay,Normal,Female,Food and beverages,Extra Virgin Olive Oil,26.1,8,Cash,6.8,2026-02-05
INV-1206,Branch B,Mandalay,Member,Male,Health and beauty,Mineral Sunscreen SPF 50,34.14,3,Cash,6.6,2026-01-11
INV-1207,Branch B,Mandalay,Normal,Male,Sports and travel,Quick-Dry Gym Towel,11.78,9,Cash,7.6,2026-02-04
INV-1208,Branch A,Yangon,Member,Female,Fashion accessories,Polarized Sunglasses,43.44,9,Cash,6.3,2026-01-13
INV-1209,Branch B,Mandalay,Member,Male,Electronic accessories,USB-C Fast Charger,15.07,9,E-wallet,5.9,2026-03-25
INV-1210,Branch B,Mandalay,Member,Female,Food and beverages,Extra Virgin Olive Oil,17.71,1,E-wallet,5.4,2026-03-15
INV-1211,Branch A,Yangon,Member,Female,Fashion accessories,Silk Scarf,35.29,3,E-wallet,4.9,2026-02-20
INV-1212,Branch B,Mandalay,Member,Male,Electronic accessories,Wireless Earbuds,43.95,10,Cash,9.5,2026-02-06
INV-1213,Branch B,Mandalay,Normal,Male,Fashion accessories,Wristwatch,70.27,4,E-wallet,6.7,2026-02-28
